@@@This is the 1 time check.@@@

****************************
show processes cpu
****************************

CPU utilization for five seconds: 0%/0%; one minute: 2%; five minutes: 2%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
 3853          210       172      1   0.00%   0.00%  0.00%   -    fs-daemon
 3854          190       979      0   0.00%   0.00%  0.00%   -    feature-mgr
 3855           90        44      2   0.00%   0.00%  0.00%   -    confcheck
 3856          760      1404      0   0.00%   0.00%  0.00%   -    capability
 3857          200      8769      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3867           20       158      0   0.00%   0.00%  0.00%   -    cisco
 3868        11440      2668      4   0.00%   0.00%  0.00%   -    clis
 3874          140       529      0   0.00%   0.00%  0.00%   -    port-profile
 3882            0         1      0   0.00%   0.00%  0.00%   -    dhcpd
 3883          750      2932      0   0.00%   0.00%  0.00%   -    xmlma
 3885          200      2808      0   0.00%   0.00%  0.00%   -    vmm
 3886          190      1134      0   0.00%   0.00%  0.00%   -    vman
 3887          280      2824      0   0.00%   0.00%  0.00%   -    vdc_mgr
 3888          180      4379      0   0.00%   0.00%  0.00%   -    ttyd
 3889           40     24120      0   0.00%   0.20%  0.18%   -    sysinfo
 3890          190      8742      0   0.00%   0.00%  0.00%   -    sksd
 3892          190       214      0   0.00%   0.00%  0.00%   -    res_mgr
 3893          260      8824      0   0.00%   0.00%  0.00%   -    plugin
 3894          650       321      2   0.00%   0.00%  0.00%   -    patch-installer
 3895          190       962      0   0.00%   0.00%  0.00%   -    mvsh
 3896           10         5      2   0.00%   0.00%  0.00%   -    mping_server
 3897          240      2858      0   0.00%   0.00%  0.00%   -    module
 3900          150       946      0   0.00%   0.00%  0.00%   -    evms
 3903          170       914      0   0.00%   0.00%  0.00%   -    evmc
 3904          760       460      1   0.00%   0.00%  0.00%   -    crdcfg_server
 3905          680        32     21   0.00%   0.00%  0.00%   -    core-dmon
 3906          730      2756      0   0.00%   0.00%  0.00%   -    cli_acl
 3907         1290      1177      1   0.00%   0.00%  0.00%   -    ascii-cfg
 3909          810      8796      0   0.00%   0.00%  0.00%   -    securityd
 3910          190      8741      0   0.00%   0.00%  0.00%   -    cert_enroll
 3911         1380      9454      0   0.00%   0.01%  0.00%   -    aaa
 3913          120      1004      0   0.00%   0.00%  0.00%   -    l3vm
 3915          750     10056      0   0.00%   0.00%  0.00%   -    urib
 3922        17220    459173      0   0.19%   0.18%  0.19%   -    ori_fwd
 3923         7740      9374      0   0.19%   0.07%  0.06%   -    port_client
 3924        68720     11005      6   0.00%   0.90%  0.78%   -    statsclient
 3926          780     96017      0   0.00%   0.01%  0.02%   -    snmpd
 3929          340       274      1   0.00%   0.00%  0.00%   -    aclmgr
 3939          180      2809      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 3946          300       536      0   0.00%   0.00%  0.00%   -    npacl
 3950         1170        28     41   0.00%   0.00%  0.00%   -    ExceptionLog
 3951          370      4466      0   0.00%   0.00%  0.00%   -    bootvar
 3953          440      1655      0   0.00%   0.00%  0.00%   -    ifmgr
 3955          180      1405      0   0.00%   0.00%  0.00%   -    tcap
 3958          270      9567      0   0.00%   0.00%  0.00%   -    callhome
 3960          190    676681      0   0.00%   0.04%  0.07%   -    adjmgr
 3962           90      2574      0   0.00%   0.00%  0.00%   -    u6rib
 3983          190     15773      0   0.00%   0.05%  0.01%   -    l2fwd
 3996          510     10305      0   0.00%   0.00%  0.00%   -    arp
 3997          680       684      0   0.00%   0.00%  0.00%   -    icmpv6
 3998          110     31742      0   0.00%   0.03%  0.01%   -    pktmgr
 4025          360    166308      0   0.00%   0.09%  0.06%   -    netstack
 4136          270      8759      0   0.00%   0.00%  0.00%   -    radius
 4138          210      3048      0   0.00%   0.00%  0.00%   -    cdp
 4140          210      3057      0   0.00%   0.00%  0.00%   -    cfs
 4143           10         6      1   0.00%   0.00%  0.00%   -    ip_dummy
 4146           20         7      2   0.00%   0.00%  0.00%   -    ipv6_dummy
 4147          760       610      1   0.00%   0.00%  0.00%   -    ntp
 4149          150      2984      0   0.00%   0.00%  0.00%   -    otm
 4152           20         7      2   0.00%   0.00%  0.00%   -    tcpudp_dummy
 4158          130       483      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 4375          420     16471      0   0.00%   0.00%  0.00%   -    ntpd
 5079         1800      1331      1   0.00%   0.00%  0.00%   -    vlan_mgr
 5083           90      3827      0   0.00%   0.00%  0.00%   -    rpm
 5087          490      2918      0   0.00%   0.00%  0.00%   -    pltfm_config
 5089          140      2796      0   0.00%   0.00%  0.00%   -    plsm
 5090          340      2790      0   0.00%   0.00%  0.00%   -    plcmgr
 5091          150      2739      0   0.00%   0.00%  0.00%   -    pixmc
 5094          510      1189      0   0.00%   0.00%  0.00%   -    pfstat
 5100         1540     38959      0   0.00%   0.01%  0.01%   -    mtm
 5105          200      2798      0   0.00%   0.00%  0.00%   -    lim
 5106          180      3057      0   0.00%   0.00%  0.00%   -    l2sfe
 5109          390      9481      0   0.00%   0.01%  0.01%   -    l2rib
 5112          130      2766      0   0.00%   0.00%  0.00%   -    l2fm_ut
 5117           90       549      0   0.00%   0.00%  0.00%   -    igmp
 5120          150      1399      0   0.00%   0.00%  0.00%   -    eth_port_channel
 5123          130       987      0   0.00%   0.00%  0.00%   -    eltm
 5124          180      2760      0   0.00%   0.00%  0.00%   -    elo_io
 5129           90    868527      0   0.00%   0.12%  0.13%   -    ecp
 5130          540        19     28   0.00%   0.00%  0.00%   -    dftm
 5138          890      8016      0   0.00%   0.00%  0.00%   -    bfdc
 5142          110       462      0   0.00%   0.00%  0.00%   -    adbm
 5148          130      1526      0   0.00%   0.00%  0.00%   -    l2fm
 5185          490      3204      0   0.00%   0.00%  0.00%   -    ethpm
 5250          900     45488      0   0.00%   0.00%  0.01%   -    stp
 5542          260       316      0   0.00%   0.00%  0.00%   -    copp
 5865          100      1394      0   0.00%   0.00%  0.00%   -    u2
 5866          110       245      0   0.00%   0.00%  0.00%   -    spm
 5867          140      2800      0   0.00%   0.00%  0.00%   -    sal
 5868          140     22687      0   0.00%   0.00%  0.00%   -    mrib
 5869          710      1409      0   0.00%   0.00%  0.00%   -    mfdm
 5870          130      2787      0   0.00%   0.00%  0.00%   -    mcm
 5871          110     30740      0   0.00%   0.01%  0.01%   -    m6rib
 5872          130      2785      0   0.00%   0.00%  0.00%   -    l2pt
 5873          180      2959      0   0.00%   0.00%  0.00%   -    ufdm
 5878          460       535      0   0.00%   0.00%  0.00%   -    mcastfwd
 5907          130       710      0   0.00%   0.00%  0.00%   -    m2rib
 6026          470      7849      0   0.00%   0.00%  0.00%   -    gettylogin1
 6030           10         4      2   0.00%   0.00%  0.00%   -    sh
 6038           50        53      0   0.00%   0.00%  0.00%   -    libvirtd
14328           30        32      0   0.00%   0.00%  0.00%   S0    login
17486          270      1832      0   0.00%   0.00%  0.00%   S0    vsh
20173            0         2      0   0.00%   0.00%  0.00%   S1    getty

****************************
show ip int bri
****************************
IP Interface Status for VRF "default"(1)
Interface            IP Address      Interface Status
Eth2/1               192.168.32.103  protocol-up/link-up/admin-up       




@@@This is the 3 time check.@@@

****************************
show processes cpu
****************************

CPU utilization for five seconds: 4%/0%; one minute: 3%; five minutes: 2%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         4650      1842      2   0.00%   0.00%  0.00%   -    init
 3223            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3261            0         8      0   0.00%   0.00%  0.00%   -    rpc.statd
 3271         1830     28645      0   0.00%   0.04%  0.01%   -    sysmgr
 3821           10         5      2   0.00%   0.00%  0.00%   -    xinetd
 3822           10         6      1   0.00%   0.00%  0.00%   -    tftpd
 3823         1380     12320      0   0.00%   0.00%  0.00%   -    syslogd
 3824          110        18      6   0.00%   0.00%  0.00%   -    sdwrapd
 3825          140        58      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3826         2790      9415      0   0.00%   0.00%  0.00%   -    platform
 3838           20       703      0   0.00%   0.00%  0.00%   -    klogd
 3843          150      2449      0   0.00%   0.00%  0.00%   -    vshd
 3845          150      3001      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3846           50      1182      0   0.00%   0.00%  0.00%   -    smm
 3847          200      2780      0   0.00%   0.00%  0.00%   -    session-mgr
 3848          210      8789      0   0.00%   0.00%  0.00%   -    psshelper
 3849          580      2792      0   0.00%   0.00%  0.00%   -    pixm
 3850           90     26426      0   0.00%   0.00%  0.00%   -    pdsd
 3851           50       190      0   0.00%   0.00%  0.00%   -    lmgrd
 3852          180      2401      0   0.00%   0.00%  0.00%   -    licmgr
 3853          210       172      1   0.00%   0.00%  0.00%   -    fs-daemon
 3854          190       980      0   0.00%   0.00%  0.00%   -    feature-mgr
 3855           90        44      2   0.00%   0.00%  0.00%   -    confcheck
 3856          760      1406      0   0.00%   0.00%  0.00%   -    capability
 3857          200      8779      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3867           20       158      0   0.00%   0.00%  0.00%   -    cisco
 3868        11440      2668      4   0.00%   0.00%  0.00%   -    clis
 3874          140       529      0   0.00%   0.00%  0.00%   -    port-profile
 3882            0         1      0   0.00%   0.00%  0.00%   -    dhcpd
 3883          750      2935      0   0.00%   0.00%  0.00%   -    xmlma
 3885          200      2811      0   0.00%   0.00%  0.00%   -    vmm
 3886          190      1136      0   0.00%   0.00%  0.00%   -    vman
 3887          280      2826      0   0.00%   0.00%  0.00%   -    vdc_mgr
 3888          180      4384      0   0.00%   0.00%  0.00%   -    ttyd
 3889           40     24390      0   0.19%   0.23%  0.19%   -    sysinfo
 3890          190      8752      0   0.00%   0.00%  0.00%   -    sksd
 3892          190       214      0   0.00%   0.00%  0.00%   -    res_mgr
 3893          260      8834      0   0.00%   0.00%  0.00%   -    plugin
 3894          650       322      2   0.00%   0.00%  0.00%   -    patch-installer
 3895          190       964      0   0.00%   0.00%  0.00%   -    mvsh
 3896           10         5      2   0.00%   0.00%  0.00%   -    mping_server
 3897          240      2861      0   0.00%   0.00%  0.00%   -    module
 3900          150       948      0   0.00%   0.00%  0.00%   -    evms
 3903          170       914      0   0.00%   0.00%  0.00%   -    evmc
 3904          760       461      1   0.00%   0.00%  0.00%   -    crdcfg_server
 3905          680        32     21   0.00%   0.00%  0.00%   -    core-dmon
 3906          730      2759      0   0.00%   0.00%  0.00%   -    cli_acl
 3907         1290      1179      1   0.00%   0.00%  0.00%   -    ascii-cfg
 3909          810      8807      0   0.00%   0.00%  0.00%   -    securityd
 3910          190      8751      0   0.00%   0.00%  0.00%   -    cert_enroll
 3911         1390      9479      0   0.00%   0.02%  0.01%   -    aaa
 3913          120      1005      0   0.00%   0.00%  0.00%   -    l3vm
 3915          750     10067      0   0.00%   0.00%  0.00%   -    urib
 3922        17230    459705      0   0.19%   0.17%  0.18%   -    ori_fwd
 3923         7740      9384      0   0.00%   0.06%  0.06%   -    port_client
 3924        68720     11008      6   0.00%   0.76%  0.75%   -    statsclient
 3926          780     96127      0   0.19%   0.03%  0.02%   -    snmpd
 3929          340       274      1   0.00%   0.00%  0.00%   -    aclmgr
 3939          180      2813      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 3946          300       536      0   0.00%   0.00%  0.00%   -    npacl
 3950         1170        28     41   0.00%   0.00%  0.00%   -    ExceptionLog
 3951          370      4471      0   0.00%   0.00%  0.00%   -    bootvar
 3953          440      1657      0   0.00%   0.00%  0.00%   -    ifmgr
 3955          180      1407      0   0.00%   0.00%  0.00%   -    tcap
 3958          270      9577      0   0.00%   0.00%  0.00%   -    callhome
 3960          190    677462      0   0.19%   0.05%  0.07%   -    adjmgr
 3962           90      2577      0   0.00%   0.00%  0.00%   -    u6rib
 3983          190     16260      0   0.19%   0.13%  0.03%   -    l2fwd
 3996          510     10315      0   0.00%   0.00%  0.00%   -    arp
 3997          680       685      0   0.00%   0.00%  0.00%   -    icmpv6
 3998          110     32127      0   0.00%   0.04%  0.01%   -    pktmgr
 4025          360    167870      0   0.39%   0.14%  0.07%   -    netstack
 4136          270      8769      0   0.00%   0.00%  0.00%   -    radius
 4138          210      3052      0   0.00%   0.00%  0.00%   -    cdp
 4140          210      3061      0   0.00%   0.00%  0.00%   -    cfs
 4143           10         6      1   0.00%   0.00%  0.00%   -    ip_dummy
 4146           20         7      2   0.00%   0.00%  0.00%   -    ipv6_dummy
 4147          760       611      1   0.00%   0.00%  0.00%   -    ntp
 4149          150      2987      0   0.00%   0.00%  0.00%   -    otm
 4152           20         7      2   0.00%   0.00%  0.00%   -    tcpudp_dummy
 4158          130       503      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 4375          420     16490      0   0.00%   0.00%  0.00%   -    ntpd
 5079         1800      1332      1   0.00%   0.00%  0.00%   -    vlan_mgr
 5083           90      3831      0   0.00%   0.00%  0.00%   -    rpm
 5087          490      2921      0   0.00%   0.00%  0.00%   -    pltfm_config
 5089          140      2799      0   0.00%   0.00%  0.00%   -    plsm
 5090          340      2792      0   0.00%   0.00%  0.00%   -    plcmgr
 5091          150      2743      0   0.00%   0.00%  0.00%   -    pixmc
 5094          510      1189      0   0.00%   0.00%  0.00%   -    pfstat
 5100         1540     39002      0   0.00%   0.01%  0.01%   -    mtm
 5105          200      2801      0   0.00%   0.00%  0.00%   -    lim
 5106          180      3060      0   0.00%   0.00%  0.00%   -    l2sfe
 5109          390      9492      0   0.00%   0.00%  0.01%   -    l2rib
 5112          130      2770      0   0.00%   0.00%  0.00%   -    l2fm_ut
 5117           90       549      0   0.00%   0.00%  0.00%   -    igmp
 5120          150      1400      0   0.00%   0.00%  0.00%   -    eth_port_channel
 5123          130       989      0   0.00%   0.00%  0.00%   -    eltm
 5124          180      2764      0   0.00%   0.00%  0.00%   -    elo_io
 5129           90    869541      0   0.00%   0.11%  0.12%   -    ecp
 5130          540        19     28   0.00%   0.00%  0.00%   -    dftm
 5138          890      8025      0   0.00%   0.00%  0.00%   -    bfdc
 5142          110       462      0   0.00%   0.00%  0.00%   -    adbm
 5148          130      1528      0   0.00%   0.00%  0.00%   -    l2fm
 5185          490      3206      0   0.00%   0.00%  0.00%   -    ethpm
 5250          900     45542      0   0.00%   0.00%  0.01%   -    stp
 5542          260       316      0   0.00%   0.00%  0.00%   -    copp
 5865          100      1396      0   0.00%   0.00%  0.00%   -    u2
 5866          110       245      0   0.00%   0.00%  0.00%   -    spm
 5867          140      2803      0   0.00%   0.00%  0.00%   -    sal
 5868          140     22713      0   0.00%   0.00%  0.00%   -    mrib
 5869          710      1411      0   0.00%   0.00%  0.00%   -    mfdm
 5870          130      2790      0   0.00%   0.00%  0.00%   -    mcm
 5871          110     30776      0   0.00%   0.00%  0.01%   -    m6rib
 5872          130      2788      0   0.00%   0.00%  0.00%   -    l2pt
 5873          180      2961      0   0.00%   0.00%  0.00%   -    ufdm
 5878          460       535      0   0.00%   0.00%  0.00%   -    mcastfwd
 5907          130       710      0   0.00%   0.00%  0.00%   -    m2rib
 6026          480      7858      0   0.00%   0.01%  0.00%   -    gettylogin1
 6030           10         4      2   0.00%   0.00%  0.00%   -    sh
 6038           50        53      0   0.00%   0.00%  0.00%   -    libvirtd
14328           30        32      0   0.00%   0.00%  0.00%   S0    login
17486          270      1842      0   0.00%   0.00%  0.00%   S0    vsh
20221            0         2      0   0.00%   0.00%  0.00%   S1    getty
20223          190        93      2   0.00%   0.00%  0.00%   -    dcos_sshd

****************************
show ip int bri
****************************
IP Interface Status for VRF "default"(1)
Interface            IP Address      Interface Status
Eth2/1               192.168.32.103  protocol-up/link-up/admin-up       





